name_en,amenity,lat,long
Al-Nelain Medical Diagnostic Center,hospital,32.530004045760776,15.601869088584442
Muwani Hospital,hospital,37.22136009444391,19.636232882556502
Al-Rajaa Specialist Hospital for Obstetrics and Gynecology,hospital,32.52473155972647,15.637515280251197
Taiba Hospital,hospital,32.48531773532547,15.723352769122991
Aliamama Hospital,hospital,32.67028146119856,13.161385089263682
Bahreed Husbetel,hospital,32.670956365639,13.160519693207315
Military hospital,hospital,32.68203707357334,13.138397886280952
Noor Eye Hospital,hospital,32.558751126701985,15.547450829586593
Treatment House Hospital,hospital,32.55909597642435,15.577232494614446
Achievement Hospital,hospital,32.53426496971161,15.575469332018502
Hospital rejoicing,hospital,32.55797905377421,15.57577850512119
Healthcare Hospital,hospital,32.536463415806395,15.562431951509204
Bashair Private Hospital 2,hospital,32.618652931103725,15.610162267504887
Gedaref Teaching Hospital,hospital,35.387359479583644,14.039990749606156
Rehabilitation Hospital,hospital,35.36998396650386,14.057379650563483
El-Desouki Specialized Hospital,hospital,32.47670594982178,15.699750602637215
Blue Nile Hospital,hospital,32.48912946777949,15.643459927268063
Al Wydad Hospital,hospital,32.48910255305025,15.643964262195658
Parents' Eye Hospital,hospital,32.46943184420386,15.643491929226165
Best Care Hospital,hospital,32.50350035929652,15.554464901474235
Imperial Hospital,hospital,32.536345079034355,15.602859155861509
Al-Zaytouna Hospital,hospital,32.53341457042821,15.600433756429227
Al-Hikma Medical Center,hospital,32.53157548869506,15.600475140687163
Al-Mogran University Hospital,hospital,32.516502165265045,15.604274001572614
Yashfin Medical Complex,hospital,32.45948960035678,15.60896274977488
umalgura HC,hospital,36.20222746925107,16.140454131880528
hedalia IDP HC,hospital,36.10181131484194,16.183529548846604
Talatashara Issa Eljag HC,hospital,36.12671448781211,16.04299822421406
Al-Hilaliya Teaching Hospital,hospital,33.242028210361546,14.943611009003456
International Center for Advanced Hearing,hospital,32.52966399985396,15.601160051379805
Modern Dental Centre,hospital,32.53042954673237,15.600940099461491
Asbab hospital,hospital,32.56763193946026,15.63794458747387
